Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
Modern and Contemporary Art,Painting,The Red Goat,,,,John Alexander,"American, born Beaumont, Texas 1945",,"Alexander, John",American,1945      ,9999      ,1983,1983
Modern and Contemporary Art,Painting,"""Dutch"" Still Life with Orchids, Postcard View of Paris, and ""Death of Marat""",,,,Paul Wonner,"American, 1920–2008 San Francisco",,"Wonner, Paul",American,1920      ,2008      ,1983,1983
Modern and Contemporary Art,Painting,Ausburg,,,,Chuck Connelly,"American, born Pittsburgh, Pennsylvania 1955",,"Connelly, Chuck",American,1955      ,2055      ,1983,1983
Modern and Contemporary Art,Painting,Air Crash,,,,Cham Hendon,"American, 1936–2014",,"Hendon, Cham",American,1936      ,2014      ,1983,1983
Photographs,Painting,Butane,,,,Charles Clough,"American, born 1951",,"Clough, Charles",,1951      ,1951      ,1982,1982
Modern and Contemporary Art,Painting,Still Life,,,,Mark Tansey,"American, born San Jose, California 1949",,"Tansey, Mark",American,1949      ,2049      ,1982,1982
Modern and Contemporary Art,Painting,Berlin Gothic,,,,Michael David,"American, born Reno, Nevada 1954",,"David, Michael",American,1954      ,2054      ,1982,1982
Modern and Contemporary Art,Painting,Cultures Oceania VII,,,,John Walker,"British, born 1939",,"Walker, John",British,1939      ,2039      ,1982,1982
Modern and Contemporary Art,Painting,Capsized,,,,Richard Bosman,"Australian, born India, 1944",,"Bosman, Richard","Australian, born India",1944      ,2044      ,1982,1982
Modern and Contemporary Art,Painting,Fire and Rain,,,,Louisa Chase,"American (born Panama), Panama City 1951–2016 East Hampton, New York",,"Chase, Louisa","American, born Panama",1951      ,2016      ,1982,1982
Modern and Contemporary Art,Painting,Ethereal and Earthbound,,,,Jeanne Duval,"American, born Petersborough, New Hampshire 1956",,"Duval, Jeanne",American,1956      ,2056      ,1982,1982
Modern and Contemporary Art,Painting,The Ascension,,,,Frederick J. Brown,"American, born Greensboro, Georgia 1945–2012 Scottsdale, Arizona",,"Brown, Frederick J",American,1945      ,2012      ,1982,1982
Modern and Contemporary Art,Painting,The Big Wetland I,,,,Gabor F. Peterdi,"American (born Hungary), Pestújhely 1915–2001 Stamford, Connecticut",,"Peterdi, Gabor F.","American, born Hungary",1915      ,2001      ,1982,1982
Modern and Contemporary Art,Painting,Untitled No. 66,,,,Elmer Bischoff,"American, 1916–1991",,"Bischoff, Elmer",American,1916      ,1991      ,1982,1982
Modern and Contemporary Art,Painting,Break Out,,,,Lizbeth Mitty,"American, born Queens, New York 1952",,"Mitty, Lizbeth",American,1952      ,2052      ,1982,1982
Modern and Contemporary Art,Painting,Vermillion Banner,,,,Margo Hoff,"American, 1912–2008",,"Hoff, Margo",American,1912      ,2008      ,1982,1982
Modern and Contemporary Art,Painting,Prairie,,,,Sigrid Burton,"American, born Pasadena, California 1951",,"Burton, Sigrid",American,1951      ,2051      ,1982,1982
Modern and Contemporary Art,Painting,From Portal to Paradise,,,,Ronnie Landfield,"American, born Bronx, New York 1947",,"Landfield, Ronnie",American,1947      ,2047      ,1982,1982
Modern and Contemporary Art,Painting,Self-Portrait,,,,Gene Davis,"American, Washington, D.C. 1920–1985 Washington, D.C.",,"Davis, Gene",American,1920      ,1985      ,1982,1982
Modern and Contemporary Art,Painting,The Modern Story of Life:  A Civics Diatribe,,,,Roger Brown,"American, 1941–1997",,"Brown, Roger",American,1941      ,1997      ,1982,1982
Modern and Contemporary Art,Painting,Crossing Move,,,,James McGarrell,"American, born Indianapolis, Indiana, 1930",,"Mcgarrell, James",American,1930      ,2030      ,1981–82,1981
Modern and Contemporary Art,Painting,View of the Museum of Cluny,,,,Jacques Hartmann,"French, born Paris, 1933",,"Hartmann, Jacques",French,1933      ,2033      ,1982,1982
Modern and Contemporary Art,Painting,Wild Dogs,,,,Leonard Koscianski,"American, born Cleveland, Ohio 1952",,"Koscianski, Leonard",American,1952      ,2052      ,1982,1982
Modern and Contemporary Art,Painting,Il Grifo,,,,George Nick,"American, born Rochester, New York, 1927",,"Nick, George",American,1927      ,2027      ,1982,1982
Modern and Contemporary Art,Painting,Hinterland,,,,Gregory Amenoff,"American, born St. Charles, Illinois, 1948",,"Amenoff, Gregory",American,1948      ,2048      ,1982,1982
Modern and Contemporary Art,Painting,Blank Dots,,,,Arakawa,"American, 1936–2010",,Arakawa,American,1936      ,2010      ,1982,1982
Modern and Contemporary Art,Painting,Untitled,,,,Milton Resnick,American (born Ukraine) 1917–2004,,"Resnick, Milton",American,1917      ,2004      ,1982,1982
Modern and Contemporary Art,Painting,Leslie,,,,"Thomas S. Buechner, III","American, 1926–2010",,"Buechner, Thomas S",American,1926      ,2010      ,1982,1982
Modern and Contemporary Art,Painting,Rehearsal,,,,Viacheslav Kalinin,"Russian, born 1939",,"Kalinin, Viacheslav",Russian,1939      ,2039      ,1982,1982
Modern and Contemporary Art,Painting,Reflections,,,,Jerome Carlin,"American, Chicago, Illinois 1927–2014 Berkeley, California",,"Carlin, Jerome",American,1927      ,2014      ,1974–82,1974
Modern and Contemporary Art,Painting,Adler im Fenster,,,,Georg Baselitz,"German, born Deutschbaselitz, Saxony, 1938",,"Baselitz, Georg",German,1938      ,2047      ,1982,1982
Modern and Contemporary Art,Painting,Watching Television,,,,Ed Paschke,"American, 1939–2004",,"Paschke, Ed",American,1939      ,2004      ,1982,1982
Modern and Contemporary Art,Painting,Sator Arepo Tenet Opera Rotas,,,,Gary Stephan,"American, born Brooklyn, New York 1942",,"Stephan, Gary",American,1942      ,2043      ,1982,1982
Modern and Contemporary Art,Painting,Red Coat,,,,Alex Katz,"American, born Brooklyn, New York, 1927",,"Katz, Alex",,1927      ,2027      ,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
"Arts of Africa, Oceania, and the Americas",Painting,Barkcloth Painting,Uramot Baining people,,,,,,,,,,1982,1982
Modern and Contemporary Art,Painting,Arch,,,,Stephen Buckley,"British, born Leicester 1944",,"Buckley, Stephen",British,1944      ,2044      ,1980–81,1980
Modern and Contemporary Art,Painting,Memory of Closeness,,,,Bill Jensen,"American, born Minneapolis, Minnesota 1945",,"Jensen, Bill",American,1945      ,2045      ,1981,1981
Modern and Contemporary Art,Painting,H.H.H.,,,,Luise Kaish,"American, born Atlanta, Georgia 1925-2013 New York",,"Kaish, Luise",American,1925      ,2013      ,1981,1981
Modern and Contemporary Art,Painting,Disco,,,,Margo Hoff,"American, 1912–2008",,"Hoff, Margo",American,1912      ,2008      ,1981,1981
Modern and Contemporary Art,Painting,II - 29 (N) No. 1,,,,Sanford Wurmfeld,"American, born 1942",,"Wurmfeld, Sanford",American,1942      ,2042      ,1981,1981
Modern and Contemporary Art,Painting,"""Is There Anything to be Frightened of Miss Alice?"" ""Always.""",,,,Rex Lau,"American, born 1947",,"Lau, Rex",American,1947      ,2047      ,1981,1981
Modern and Contemporary Art,Painting,House of Fire,,,,James Rosenquist,"American, Grand Forks, North Dakota 1933–2017 New York",,"Rosenquist, James",American,1933      ,2017      ,1981,1981
Modern and Contemporary Art,Painting,Verifying Dissonant Statistics,,,,Randy Dudley,"American, born 1950",,"Dudley, Randy",American,1950      ,2050      ,1981,1981
Modern and Contemporary Art,Painting,Raspberries and Goldfish,,,,Janet Fish,"American, born Boston, Massachusetts, 1938",,"Fish, Janet",American,1938      ,2038      ,1981,1981
Modern and Contemporary Art,Painting,Cambridge Corn,,,,Marjorie Portnow,"American, born 1942",,"Portnow, Marjorie",American,1942      ,2042      ,1981,1981
Modern and Contemporary Art,Painting,Tehilim,,,,Jacob El Hanani,"Israeli (born Morocco), Casablanca, 1947",,"Hanani, Jacob El",Israeli,1947      ,2047      ,1978–81,1978
Modern and Contemporary Art,Painting,Threshold and Shield,,,,Hugh O'Donnell,"British, born London 1950",,"O'Donnell, Hugh",British,1950      ,2050      ,1981,1981
Modern and Contemporary Art,Painting,Hell (Union Square),,,,Dennis Smith,"American, Glenridge, New Jersey 1951–1983 New York",,"Smith, Dennis",American,1951      ,1983      ,1981,1981
Modern and Contemporary Art,Painting,Ladder,,,,Mark Wethli,"American, born 1949",,"Wethli, Mark",American,1949      ,2049      ,1981,1981
Modern and Contemporary Art,Painting,Male Nude,,,,Steve Hawley,"American, born 1950",,"Hawley, Steve",American,1950      ,2050      ,1980–81,1980
Modern and Contemporary Art,Painting,The Innocent Eye Test,,,,Mark Tansey,"American, born San Jose, California 1949",,"Tansey, Mark",American,1949      ,2049      ,1981,1981
Modern and Contemporary Art,Painting,Plato's Veil,,,,Salle Werner Vaughn,"American, born Tyler, Texas, 1939",,"Vaughn, Salle Werner",American,1939      ,2039      ,1981,1981
Modern and Contemporary Art,Painting,The Visitation,,,,Salle Werner Vaughn,"American, born Tyler, Texas, 1939",,"Vaughn, Salle Werner",American,1939      ,2039      ,1981,1981
Modern and Contemporary Art,Painting,"Winjana Gorge, Kimberleys, I",,,,Fred Williams,"Australian, 1927–1982",,"Williams, Fred",Australian,1927      ,1982      ,1981,1981
Modern and Contemporary Art,Painting,Genesis/Violent Garden,,,,Kay WalkingStick,"American, born Syracuse, New York, 1935",,"Walkingstick, Kay",American,1935      ,2035      ,1981,1981
Musical Instruments,Painting,Acoustics of Violins,American,,,Marvin Mattelson,American,,Mattelson Marvin,American,,,1981,1981
Modern and Contemporary Art,Painting,Vision from Oklahoma,,,,John Tweddle,"American, born 1938",,"Tweddle, John",American,1938      ,2038      ,1981,1981
Modern and Contemporary Art,Painting,Hakuryo,,,,Frances Barth,"American, born Bronx, New York 1946",,"Barth, Frances",American,1946      ,2046      ,1981,1981
Modern and Contemporary Art,Painting,The Quick and the Dead,,,,Sidney Goodman,"American, Philadelphia, Pennsylvania 1936–2013 Philadelphia, Pennsylvania",,"Goodman, Sidney",American,1936      ,2013      ,1980–81,1980
Modern and Contemporary Art,Painting,Atlanta's Missing Children,,,,Nellie Mae Rowe,"American, Fayetteville, Georgia 1900–1982 Smyrna, Georgia",,"Rowe, Nellie Mae",,1900      ,1982      ,1981,1981
Asian Art,Painting,,India,,,Y. G. Srimati,"Indian, 1926–2007",,Srimati Y. G.,Indian,1926      ,2007      ,1980,1980
Modern and Contemporary Art,Painting,Pigeon Walking in a Park,,,,Gwenn Thomas,"American, born 1945",,"Thomas, Gwenn",American,1945      ,2045      ,1980,1980
Modern and Contemporary Art,Painting,Tree in Shadows,,,,Gwenn Thomas,"American, born 1945",,"Thomas, Gwenn",American,1945      ,2045      ,1980,1980
Modern and Contemporary Art,Painting,Split,,,,Joan Witek,"American, born New York, 1943",,"Witek, Joan",American,1943      ,2043      ,1980,1980
Modern and Contemporary Art,Painting,Quartet,,,,Doug Ohlson,"American, 1936–2010",,"Ohlson, Doug",American,1936      ,2010      ,1980,1980
Modern and Contemporary Art,Painting,Flight II,,,,Edda Renouf,"American, born Mexico City 1943",,"Renouf, Edda",American,1943      ,2043      ,1979–80,1979
Modern and Contemporary Art,Painting,Barticaflats Even Time,,,,Frank Bowling,"British, born Guyana 1936",,"Bowling, Frank",British,1936      ,2036      ,1980,1980
Modern and Contemporary Art,Painting,Tink Tonk,,,,Nabil Nahas,"Lebanese, born Beirut 1949",,"Nahas, Nabil",Lebanese,1949      ,2049      ,1979–80,1979
Modern and Contemporary Art,Painting,Self-Portrait - Night,,,,Karl Schrag,"American (born Germany), Karlsruhe 1912–1995 New York",,"Schrag, Karl","American, born Germany",1912      ,1995      ,1980,1980
Modern and Contemporary Art,Painting,"Passage, Opening with Cypress Forms III",,,,Stephen Edlich,"American, 1944–1989",,"Edlich, Stephen",American,1944      ,1989      ,1980,1980
Modern and Contemporary Art,Painting,Thursday,,,,John Moore,"American, born 1941",,"Moore, John",American,1941      ,9999      ,1980,1980
Modern and Contemporary Art,Painting,Dancing in Colombia,,,,Fernando Botero,"Colombian, born Medellin, 1932",,"Botero, Fernando",Colombian,1932      ,2032      ,1980,1980
Modern and Contemporary Art,Painting,Summer Music,,,,Walter Hatke,"American, born Topeka, Kansas 1948",,"Hatke, Walter",American,1948      ,2048      ,1980,1980
Modern and Contemporary Art,Painting,Brazilian Landscape,,,,Clifford Ross,"American, born New York 1952",,"Ross, Clifford",American,1952      ,2052      ,1980,1980
Modern and Contemporary Art,Painting,José de Creeft (1884-1982),,,,Raphael Soyer,"American (born Russia), Borisoglebsk 1899–1987 New York",,"Soyer, Raphael","American, born Russia",1899      ,1987      ,1980,1980
Modern and Contemporary Art,Painting,Dream of a Golem,,,,Jules Kirschenbaum,"American, 1930–2000",,"Kirschenbaum, Jules",American,1930      ,2000      ,1980,1980
Modern and Contemporary Art,Painting,Sweets,,,,Randall Deihl,"American, born 1946",,"Deihl, Randall",American,1946      ,2046      ,1980,1980
Modern and Contemporary Art,Painting,Umbra Urbana,,,,Graham Nickson,"British, born Lancashire 1946",,"Nickson, Graham",British,1946      ,2046      ,1972–80,1972
Modern and Contemporary Art,Painting,The Madhouse of God,,,,Gary Stephan,"American, born Brooklyn, New York 1942",,"Stephan, Gary",American,1942      ,2043      ,1980,1980
Modern and Contemporary Art,Painting,Three Studies for a Self-Portrait,,,,Francis Bacon,"British (born Ireland), Dublin 1909–1992 Madrid",,"Bacon, Francis",British,1909      ,1992      ,1979–80,1979
Modern and Contemporary Art,Painting,City Crowd–Cop and Ear,,,,A. Robert Birmelin,"American, born Newark, New Jersey, 1933",,"Birmelin, A Robert",American,1933      ,2033      ,1980,1980
Modern and Contemporary Art,Painting,Kevin Kearney,,,,Theophilus Brown,"American, born Moline, Illinois 1919–2012 San Francisco",,"Brown, Theophilus",American,1919      ,2012      ,1978–80,1978
Modern and Contemporary Art,Painting,Untitled #3,,,,Paul Sarkisian,"American, Chicago, Illinois 1928–2019 Santa Fe, New Mexico",,"Sarkisian, Paul",American,1928      ,2019      ,1980,1980
Modern and Contemporary Art,Painting,"Prototype, Number 1",,,,Joe Zucker,"American, born Chicago, Illinois, 1941",,"Zucker, Joe",American,1941      ,2041      ,1980,1980
Modern and Contemporary Art,Painting,Ocean,,,,Purvis Young,"American, Liberty, Missouri 1943–2010 Miami, Florida",,"Young, Purvis",,1943      ,2010      ,ca. 1975,1970
Islamic Art,Painting,Untitled,,,,Marcos Grigorian,"Iranian (born Russia), Kropotkin 1925–2007 Yerevan, Armenia",,"Grigorian, Marcos",Armenian-Iranian,1925      ,2007      ,1970s,1970
Modern and Contemporary Art,Painting,Autumn River,,,,Wolf Kahn,"American, born Stuttgart, Germany, 1927",,"Kahn, Wolf","American, born Germany",1927      ,2027      ,1979,1979
Modern and Contemporary Art,Painting,Leah's Renoir,,,,Sam Gilliam,"American, born Tupelo, Mississippi, 1933",,"Gilliam, Sam",American,1933      ,2033      ,1979,1979
Modern and Contemporary Art,Painting,The Path of the Grey Falcon of the Dawn,,,,Alice Baber,"American, 1928–1982",,"Baber, Alice",American,1928      ,1982      ,1979,1979
Modern and Contemporary Art,Painting,The Artist in his Studio,,,,Warren Brandt,"American, 1918–2002",,"Brandt, Warren",American,1918      ,2002      ,1979,1979
Modern and Contemporary Art,Painting,New Yorker Faces Iran Spy Trial,,,,Dennis Ashbaugh,"American, born Red Oak, Iowa 1946",,"Ashbaugh, Dennis",American,1946      ,9999      ,1979,1979
Modern and Contemporary Art,Painting,An American Painting - For Rose Paul,,,,Ed Baynard,"American, 1940–2016",,"Baynard, Ed",American,1940      ,2016      ,1979,1979
Modern and Contemporary Art,Painting,For Tony's Jane,,,,Robert Swain,"American, born 1940",,"Swain, Robert",American,1940      ,2040      ,1979,1979
Modern and Contemporary Art,Painting,Little River Farm,,,,Yvonne Jacquette,"American, born Pittsburgh, Pennsylvania, 1934",,"Jacquette, Yvonne",American,1934      ,2034      ,1979,1979
Modern and Contemporary Art,Painting,Landscape with Islands and Sky,,,,Gregory Gillespie,"American, 1936–2000",,"Gillespie, Gregory",American,1936      ,2000      ,1979,1979
Modern and Contemporary Art,Painting,Reconstruction No. 113,,,,Lucas Samaras,"American (born Greece), Kastoria, 1936",,"Samaras, Lucas","American, born Greece",1936      ,2036      ,1979,1979
Modern and Contemporary Art,Painting,"""La Vie en Rose""",,,,Joan Mitchell,"American, Chicago, Illinois 1925–1992 Paris",,"Mitchell, Joan",American,1925      ,1992      ,1979,1979
Modern and Contemporary Art,Painting,Barcelona Fan,,,,Miriam Schapiro,"American (born Canada), Toronto 1923–2015",,"Schapiro, Miriam",American,1923      ,2015      ,1979,1979
Modern and Contemporary Art,Painting,Morning in the Cleveland Flats,,,,Richard Chiriani,"American, born 1942",,"Chiriani, Richard",American,1942      ,2042      ,1979,1979
Asian Art,Painting,,Sinhala,,,L. T. P. Manjusri,"Sri Lankan, 1902–1982",,"Manjusri, L. T. P.",,1902-10-28,1982-06-16,"dated January 17, 1979",1979
Asian Art,Painting,,Japan,Shōwa period (1926–89),,Minol Araki (Araki Minoru 荒木實),"Japanese, Dalian, China 1928–2010 Tokyo",,Minol Araki (Araki Minoru),Japanese,1928      ,2010      ,1978,1978
Modern and Contemporary Art,Painting,Philip Pearlstein,,,,Alex Katz,"American, born Brooklyn, New York, 1927",,"Katz, Alex",American,1927      ,2027      ,1978,1978
Modern and Contemporary Art,Painting,Study for Philip Pearlstein,,,,Alex Katz,"American, born Brooklyn, New York, 1927",,"Katz, Alex",American,1927      ,2027      ,1978,1978
Modern and Contemporary Art,Painting,Central Panel Doors from ICONOSTASIS,,,,Thomas Lanigan-Schmidt,"American, born 1942",,"Lanigan-Schmidt, Thom",American,1942      ,9999      ,1976–78,1976
Modern and Contemporary Art,Painting,Genesis - Dedicated to Noah Goldowsky,,,,Frederick J. Brown,"American, born Greensboro, Georgia 1945–2012 Scottsdale, Arizona",,"Brown, Frederick J",American,1945      ,2012      ,1978,1978
Modern and Contemporary Art,Painting,Stepping Out,,,,Roy Lichtenstein,"American, New York 1923–1997 New York",,"Lichtenstein, Roy",American,1923      ,1997      ,1978,1978
Modern and Contemporary Art,Painting,King of Clubs,,,,Gene Davis,"American, Washington, D.C. 1920–1985 Washington, D.C.",,"Davis, Gene",American,1920      ,1985      ,1978,1978
Modern and Contemporary Art,Painting,Big Table with Pomegranates,,,,Nell Blaine,"American, Richmond, Virginia 1922–1996 New York",,"Blaine, Nell",American,1922      ,1996      ,1978,1978
Modern and Contemporary Art,Painting,Concordia,,,,Graham Nickson,"British, born Lancashire 1946",,"Nickson, Graham",British,1946      ,2046      ,1972–78,1972
Modern and Contemporary Art,Painting,Female Model on Eames Stool,,,,Philip Pearlstein,"American, born Pittsburgh, Pennsylvania, 1924",,"Pearlstein, Philip",American,1924      ,2024      ,1978,1978
Modern and Contemporary Art,Painting,Once,,,,Elizabeth Murray,"American, Chicago, Illinois 1940–2007 Washington County, New York",,"Murray, Elizabeth",American,1940      ,2007      ,1978,1978
Modern and Contemporary Art,Painting,Untitled,,,,Norman Wilfred Lewis,"American, New York 1909–1979 New York",,"Lewis, Norman Wilfred",American,1909      ,1979      ,1978,1978
Modern and Contemporary Art,Painting,Untitled,,,,Lois Lane,"American, born Philadelphia, Pennsylvania, 1948",,"Lane, Lois",American,1948      ,2048      ,1978,1978
Modern and Contemporary Art,Painting,Season V,,,,François Rouan,"French, born Montpellier 1943",,"Rouan, Francois",French,1943      ,2043      ,1976–78,1976
Modern and Contemporary Art,Painting,Untitled (CXXXII),,,,Robert Courtright,"American, 1926–2012 France",,"Courtright, Robert",American,1926      ,2012      ,1978,1978
Modern and Contemporary Art,Painting,Autumnal Landscape,,,,Jane Freilicher,"American, Brooklyn, New York 1924–2014 New York",,"Freilicher, Jane",American,1924      ,2014      ,1976–77,1976
Modern and Contemporary Art,Painting,The Birches,,,,Neil Welliver,"American, 1929–2005",,"Welliver, Neil",American,1929      ,2005      ,1977,1977
Modern and Contemporary Art,Painting,Tempest,,,,Charles Seliger,"American, 1926–2009",,"Seliger, Charles",American,1926      ,2009      ,1977,1977
Modern and Contemporary Art,Painting,Bali - The North Shore,,,,David Budd,"American, 1927–1991",,"Budd, David",American,1927      ,1991      ,1977,1977
Modern and Contemporary Art,Painting,The Street,,,,Philip Guston,"American (born Canada), Montreal 1913–1980 Woodstock, New York",,"Guston, Philip","American, born Canada",1913      ,1980      ,1977,1977
Modern and Contemporary Art,Painting,Assipattle Sailed into the Gaping Mouth,,,,Ken Kiff,"British, 1935–2001",,"Kiff, Ken",British,1935      ,2001      ,1977,1977
Modern and Contemporary Art,Painting,Blue Panel II,,,,Ellsworth Kelly,"American, Newburgh, New York 1923–2015 Spencertown, New York",,"Kelly, Ellsworth",American ,1923      ,2015      ,1977,1977
Modern and Contemporary Art,Painting,Untitled,,,,Clyfford Still,"American, 1904–1980",,"Still, Clyfford",American,1904      ,1980      ,1977,1977
Modern and Contemporary Art,Painting,Skull,,,,Andy Warhol,"American, Pittsburgh, Pennsylvania 1928–1987 New York",,"Warhol, Andy",American,1928      ,1987      ,1977,1977
Modern and Contemporary Art,Painting,Lincolnville Beach,,,,Rackstraw Downes,American (born England) 1939,,"Downes, Rackstraw",American,1939      ,2039      ,1977,1977
Modern and Contemporary Art,Painting,Milan Hollow Farm,,,,Andy Warhol,"American, Pittsburgh, Pennsylvania 1928–1987 New York",,"Warhol, Andy",American,1928      ,1987      ,1977,1977
Modern and Contemporary Art,Painting,Relief,,,,Bruce Boice,"American, born 1941",,"Boice, Bruce",American,1941      ,2041      ,1977,1977
Asian Art,Painting,,Sinhala,,,L. T. P. Manjusri,"Sri Lankan, 1902–1982",,"Manjusri, L. T. P.",,1902-10-28,1982-06-16,"dated September 21, 1977",1977
Modern and Contemporary Art,Painting,Alison Series: One November Day,,,,Esteban Vicente,"American (born Spain), Segovia 1903–2001 Bridgehampton, New York",,"Vicente, Esteban","American, born Spain",1903      ,2001      ,1976,1976
Modern and Contemporary Art,Painting,Erebos Pradella II,,,,John Day,"American, 1932–1982",,"Day, John",American,1932      ,1982      ,1976,1976
Modern and Contemporary Art,Painting,"""That Which Is Delicious""",,,,Clifford Ross,"American, born New York 1952",,"Ross, Clifford",American,1952      ,2052      ,1976,1976
Modern and Contemporary Art,Painting,Black and Brown Blouse,,,,Alex Katz,"American, born Brooklyn, New York, 1927",,"Katz, Alex",American,1927      ,2027      ,1976,1976
Modern and Contemporary Art,Painting,Flag of Hudson Avenue No.2,,,,Alan Shields,"American, Herington, Kansas 1944–2005 Shelter Island, New York",,"Shields, Alan",American,1944      ,2005      ,1976,1976
Modern and Contemporary Art,Painting,Mood Indigo,,,,Jack Bush,"Canadian, 1909–1977",,"Bush, Jack",Canadian,1909      ,1977      ,1976,1976
Modern and Contemporary Art,Painting,Still Life,,,,Andy Warhol,"American, Pittsburgh, Pennsylvania 1928–1987 New York",,"Warhol, Andy",American,1928      ,1987      ,1976,1976
Modern and Contemporary Art,Painting,Afternoon Still Life,,,,Catherine Murphy,"American, born Cambridge, Massachusetts 1946",,"Murphy, Catherine",American,1946      ,2046      ,1976,1976
Modern and Contemporary Art,Painting,First Study for Fiumicino Car Park,,,,Jeffrey Smart,"Australian, Adelaide 1921–2013 Arezzo, Italy",,"Smart, Jeffrey",Australian,1921      ,2013      ,1976,1976
Modern and Contemporary Art,Painting,Archetypal Painting for A.G.,,,,Julian Schnabel,"American, born Brooklyn, New York, 1951",,"Schnabel, Julian",American,1951      ,2051      ,1975–76,1975
Modern and Contemporary Art,Painting,Red on Cream,,,,Sean Scully,"American, born Dublin, 1945",,"Scully, Sean","American, born Ireland",1945      ,2045      ,1976,1976
Modern and Contemporary Art,Painting,Exact and Diminishing,,,,Sylvia Plimack Mangold,"American, born New York, 1938",,"Mangold, Sylvia Plimack",American,1938      ,2038      ,1976,1976
Modern and Contemporary Art,Painting,"Vow, (Jammer)",,,,Robert Rauschenberg,"American, Port Arthur, Texas 1925–2008 Captiva Island, Florida",,"Rauschenberg, Robert",American,1925      ,2008      ,1976,1976
Modern and Contemporary Art,Painting,"Placement:  West Wall, Room 9, Metropolitan Museum of Art, N.Y.C.",,,,Jeff,"American, born 1942",,Jeff,American,1942      ,2042      ,1976,1976
Modern and Contemporary Art,Painting,Black Valhalla,,,,Noah Jemisin,"American, born 1943",,"Jemisin, Noah",American,1943      ,9999      ,1976,1976
Modern and Contemporary Art,Painting,Delta Group II,,,,Jack Whitten,"American, Bessemer, Alabama 1939–2018 New York",,"Whitten, Jack",American,1939      ,2018      ,1975,1975
Modern and Contemporary Art,Painting,24 April 75,,,,Richard Hennessy,"American, born 1941",,"Hennessy, Richard",American,1941      ,2041      ,1975,1975
Modern and Contemporary Art,Painting,Large Blue Horizontal,,,,Ilya Bolotowsky,"American (born Russia), St. Petersburg 1907–1981 New York",,"Bolotowsky, Ilya",American,1907      ,1981      ,1975,1975
Modern and Contemporary Art,Painting,Mercury Zone III,,,,Al Held,"American, Brooklyn, New York 1928–2005 Todi",,"Held, Al",American,1928      ,2005      ,1975,1975
Modern and Contemporary Art,Painting,Electric Treasure,,,,Walter Darby Bannard,"American, 1934–2016",,"Bannard, Walter Darby",American,1934      ,2016      ,1975,1975
Modern and Contemporary Art,Painting,Untitled,,,,David Budd,"American, 1927–1991",,"Budd, David",American,1927      ,1991      ,1975,1975
Modern and Contemporary Art,Painting,"Union Square, Looking up Park Avenue",,,,Fairfield Porter,"American, Winnetka, Illinois 1907–1975 Southampton, New York",,"Porter, Fairfield",American,1907      ,1975      ,1975,1975
Modern and Contemporary Art,Painting,According to Keitur Falls,,,,Frank Bowling,"British, born Guyana 1936",,"Bowling, Frank",British,1936      ,2036      ,1974–75,1974
Modern and Contemporary Art,Painting,Heart On,,,,Joan Snyder,"American, born Highland Park, New Jersey, 1940",,"Snyder, Joan",American,1940      ,2040      ,1975,1975
Modern and Contemporary Art,Painting,"Presence, Ramapo Horizon",,,,Richard Pousette-Dart,"American, St. Paul, Minnesota 1916–1992 New York",,"Pousette-Dart, Richard",American,1916      ,1992      ,1975,1975
Modern and Contemporary Art,Painting,"Wolf, Western Series, American Predella #5",,,,Don Nice,"American, Visalia, California, 1932–2019 Cortlandt, New York",,"Nice, Don",American,1932      ,2019      ,1975,1975
Modern and Contemporary Art,Painting,Rappahanock IV,,,,Ludwig Sander,"American, 1906–1975",,"Sander, Ludwig",American,1906      ,1975      ,1974,1974
Modern and Contemporary Art,Painting,Homage to Ryder,,,,Gandy Brodie,"American, New York 1924–1975 New York",,"Brodie, Gandy",American,1924      ,1975      ,1970–74,1970
Modern and Contemporary Art,Painting,Norman Loftis,,,,Philip Pearlstein,"American, born Pittsburgh, Pennsylvania, 1924",,"Pearlstein, Philip",American,1924      ,2024      ,1974,1974
Modern and Contemporary Art,Painting,Dora and Sol Wilson,,,,Raphael Soyer,"American (born Russia), Borisoglebsk 1899–1987 New York",,"Soyer, Raphael","American, born Russia",1899      ,1987      ,1974,1974
Modern and Contemporary Art,Painting,Pea Point from South Meadow,,,,Fairfield Porter,"American, Winnetka, Illinois 1907–1975 Southampton, New York",,"Porter, Fairfield",American,1907      ,1975      ,1974,1974
